"user_id","item_id","relevant"
579,8,1
579,9,1
639,8,1
640,8,1
640,9,1
640,10,1
640,11,1
640,12,1
649,1,1
656,9,1
656,10,1
668,8,1
674,10,1
674,8,1
674,9,1
674,11,1
674,12,1
674,13,1
675,8,1
677,8,1
677,9,1
677,10,1
677,11,1
677,12,1
677,13,1
682,8,1
682,9,1
682,10,1
685,2,1
685,3,1
685,4,1
697,8,1
697,9,1
712,8,1
712,9,1
712,10,1
712,11,1
712,12,1
712,13,1
727,8,1
727,9,1
741,1,1
741,2,1
741,3,1
741,4,1
741,5,1
741,6,1
741,7,1
746,12,0
773,3,1
817,3,1
852,4,1
872,2,0
882,1,1
882,2,1
882,4,1
905,1,1
905,2,1
905,3,1
905,4,1
905,5,1
905,6,1
905,7,1
905,14,1
998,24,1
1047,1,1
1047,2,1
1081,9,1
1081,10,1
1081,11,1
1081,12,1
1081,13,1
1081,14,1
1081,15,1
1194,1,1
1194,2,0
1194,3,0
1194,4,0
1194,5,0
1194,6,0
1194,7,0
1194,8,1
1308,11,1
1308,12,1
1308,13,1
1308,14,1
1308,15,1
1389,9,0
1408,2,1
1408,3,1
1408,5,1
1408,8,1
1424,1,1
1424,7,1
1424,8,1
1454,1,1
1454,3,1
1454,4,1
1454,5,1
1454,6,1
1454,7,1
1454,8,1
1513,1,1
1513,2,1
1513,3,1
1513,4,1
1513,5,1
1513,6,1
1513,7,0
1513,8,1
1528,1,1
1528,3,1
1528,4,1
1528,6,1
1533,1,1
1533,2,1
1533,3,1
1533,4,1
1533,5,1
1794,1,1
1794,7,1
1874,1,1
1874,2,1
1874,3,1
1874,4,1
1874,5,1
1874,6,1
1874,7,1
1874,8,1
1874,23,1
1884,9,1
1899,1,1
1899,2,1
1909,3,1
2108,1,1
2108,2,1
2108,3,1
2108,4,1
2108,5,1
2108,6,1
2108,7,1
2108,8,1
2170,1,1
2170,2,1
2170,3,1
2170,4,1
2170,5,1
2170,6,1
2170,7,1
2170,8,1
2197,1,1
2211,9,1
2211,10,1
2211,11,1
2211,12,1
2211,13,1
2211,14,1
2211,15,1
2291,1,1
2291,2,1
2291,3,1
2291,4,1
2291,5,1
2291,6,1
2291,7,1
2291,8,1
2318,1,1
2343,1,1
2343,2,1
2343,12,1
2343,17,1
2343,29,1
2531,1,1
2531,2,1
2531,3,1
2675,9,1
2699,1,1
2699,2,1
2699,3,1
2699,4,1
2699,5,1
2699,6,1
2699,7,1
2757,1,1
2757,2,1
2757,3,1
2757,4,1
2757,5,1
2757,6,1
2757,7,1
2757,8,1
2775,9,1
2788,1,1
2788,2,1
2788,3,1
2788,4,1
2803,1,1
2803,2,0
2803,3,1
2803,4,1
2803,5,1
2803,6,1
2803,7,1
2803,8,1
2838,1,1
2838,2,1
2838,3,1
2838,4,1
2838,5,1
2838,6,1
2838,7,1
2838,8,1
2854,14,1
2854,19,1
2979,9,1
3037,9,1
3037,10,1
3037,11,1
3037,12,1
3164,9,1
3164,10,1
3165,1,1
3234,9,1
3234,10,1
3234,12,1
3234,13,1
3234,14,1
3234,15,1
3290,5,1
3298,9,1
3298,10,1
3298,11,1
3298,12,1
3298,13,1
3298,14,1
3373,9,1
3482,1,1
3482,2,1
3553,1,1
3553,2,1
3553,3,1
3553,4,1
3553,5,1
3553,7,1
3553,8,1
3599,1,1
3599,2,1
3599,3,1
3599,4,1
3599,5,1
3599,6,1
3599,7,1
3599,8,1
3658,1,1
3658,2,1
3658,3,1
3658,4,1
3658,5,1
3715,1,1
3715,2,1
3715,3,1
3715,4,1
3715,5,1
3715,7,1
3715,8,1
3776,1,1
3776,2,1
3776,3,1
3776,4,0
3776,5,1
3776,6,1
3776,7,1
3776,8,1
3787,9,0
3796,1,1
3796,2,1
3796,3,1
3796,4,1
3796,5,1
3796,6,1
3796,7,1
3796,8,1
3904,3,1
3904,11,1
3904,12,1
3904,15,1
3959,2,0
4071,1,1
4071,2,1
4071,3,1
4071,4,1
4071,5,1
4071,6,1
4071,7,1
4071,8,1
4087,9,1
4087,10,1
4094,10,1
4188,9,1
4188,10,1
4188,11,0
4188,12,1
4188,13,1
4188,14,1
4188,15,1
4268,12,1
4268,13,1
4430,1,1
4469,1,1
4530,1,1
4530,2,0
4530,3,1
4530,4,1
4530,5,1
4530,6,1
4530,7,1
4530,8,1
4530,16,1
4530,18,1
4530,21,1
4530,22,1
4530,27,1
4537,9,1
4560,10,1
4609,1,1
4609,2,1
4609,3,1
4609,4,1
4609,5,1
4609,6,1
4903,1,1
4909,2,1
4958,9,1
4958,10,1
4958,11,1
4958,12,1
4958,14,1
4958,15,1
5008,9,1
5008,10,1
5008,11,1
5008,12,1
5008,13,1
5008,14,1
5008,15,1
5017,9,1
5017,10,1
5091,1,1
5091,2,1
5091,3,1
5091,4,1
5091,6,1
5091,7,1
5091,8,1
5228,9,1
5228,10,1
5228,14,1
5228,15,1
5459,1,1
5459,2,1
5459,3,1
5459,4,1
5648,9,1
5648,10,1
5664,9,1
5709,1,1
5709,2,1
5709,3,1
5709,4,1
5709,6,1
5709,7,1
5709,8,1
5712,1,1
5712,2,1
5712,3,1
5712,4,1
5712,5,1
5712,6,1
5712,7,1
5712,8,1
5722,1,1
5722,2,1
5722,3,1
5722,4,1
5722,5,1
5722,6,1
5722,7,1
5722,8,1
5726,1,1
5745,9,1
5798,9,1
5798,10,1
5798,11,1
5798,12,1
5798,13,1
5798,14,1
5798,15,1
5831,1,1
5831,2,1
5831,3,1
5831,4,0
5831,5,1
5831,6,1
5831,7,0
5837,9,1
5837,10,1
5837,11,1
5837,12,1
5837,13,1
5837,14,1
5837,15,1
5848,9,1
5848,10,1
5848,11,1
5848,12,1
5848,13,1
5848,14,1
5848,15,1
6004,11,1
6004,12,1
6004,13,1
6004,14,1
6013,9,1
6013,10,1
6013,11,1
6013,12,1
6013,13,1
6013,14,1
6013,15,1
6129,1,1
6161,9,1
6161,10,1
6161,11,1
6161,12,1
6161,13,1
6161,14,1
6177,9,1
6274,1,1
6274,2,1
6274,3,1
6274,4,1
6274,5,1
6274,6,1
6274,7,1
6274,8,1
6312,9,1
6312,10,1
6312,11,1
6312,12,1
6312,13,1
6312,14,1
6312,15,1
6340,1,1
6340,2,1
6340,3,1
6340,4,1
6340,6,1
6340,7,1
6340,8,1
6457,1,1
6457,2,1
6457,3,1
6457,4,1
6457,5,1
6457,6,1
6457,7,1
6457,8,1
6507,2,1
6507,3,1
6507,4,1
6507,5,1
6507,6,1
6507,7,1
6507,8,1
6730,2,1
6730,1,1
6730,7,1
6730,8,1
6782,9,1
6782,10,1
6782,11,1
6782,12,1
6854,20,0
6854,25,1
6884,9,1
6913,1,1
6946,1,1
6955,1,1
6955,2,1
6955,3,1
6955,4,1
6955,5,1
6955,6,1
6955,7,1
6955,8,1
7004,1,1
7015,9,1
7041,1,1
7041,2,1
7041,3,1
7041,4,1
7041,5,1
7041,6,1
7041,7,1
7041,8,1
7055,9,1
7055,10,0
7055,12,1
7055,13,1
7055,14,1
7055,15,1
7093,1,1
7152,10,1
7206,9,1
7206,10,1
7206,11,1
7206,12,1
7206,13,1
7206,14,1
7206,15,1
7309,11,1
7309,12,1
7309,13,1
7309,14,1
7309,15,1
7363,1,1
7391,1,1
7391,7,1
7391,8,1
7414,1,1
7414,2,1
7414,3,1
7414,4,1
7414,5,1
7414,6,1
7414,7,1
7414,8,1
7441,9,1
7441,10,1
7468,10,0
7468,12,0
7505,9,1
7505,10,1
7505,11,1
7505,12,1
7505,13,1
7505,14,1
7505,15,1
7522,1,1
7522,2,1
7522,3,1
7522,4,1
7522,5,1
7522,6,1
7522,7,1
7522,8,1
7615,9,1
7615,10,1
7621,10,1
7649,9,1
7718,1,1
7718,2,1
7718,3,1
7741,9,0
7745,1,1
7745,2,1
7745,3,1
7745,4,1
7745,5,1
7745,6,1
7745,7,1
7745,8,1
7745,28,0
7749,1,1
7749,2,1
7749,3,1
7749,4,1
7749,5,1
7749,6,1
7749,7,1
7749,8,1
7945,9,1
7961,1,1
7961,2,1
7961,3,1
7961,4,1
7961,5,1
8065,9,1
8065,10,1
8065,12,1
8065,11,1
8065,13,1
8065,14,1
8065,15,1
8194,1,1
8194,2,1
8194,3,1
8194,4,1
8194,5,1
8194,6,1
8194,7,1
8194,8,1
8238,9,1
8270,2,1
8270,3,1
8270,8,1
8843,9,1
8843,10,1
8843,11,1
8843,12,1
8843,13,1
8843,14,1
8843,15,1
8863,1,1
8863,2,1
8863,3,1
8877,9,1
8877,10,1
8877,11,1
8877,12,1
8877,13,1
8877,15,1
8877,14,1
8912,5,1
8912,6,1
9165,1,1
9165,2,1
9165,3,1
9165,4,1
9165,5,1
9165,6,1
9165,7,1
9165,8,1
9165,26,1
9166,1,1
